company_name,risk_score,risk_level,event_count,top_categories
Aurora Energy Partners,35.41,LOW,6,"['leadership', 'fraud_reputation', 'financial']"
Bluepeak Media Networks,23.08,LOW,3,"['cybersecurity', 'fraud_reputation']"
Cedarwood Foods,49.15,MEDIUM,5,"['cybersecurity', 'supply_chain', 'financial']"
Cobalt Financial Group,82.28,HIGH,10,"['fraud_reputation', 'financial', 'leadership']"
Granite Construction,17.98,LOW,4,"['supply_chain', 'fraud_reputation', 'leadership']"
Halcyon Insurance,17.36,LOW,8,"['legal_regulatory', 'leadership', 'financial']"
Helios Semiconductors,78.92,HIGH,6,"['supply_chain', 'leadership', 'cybersecurity']"
Ironvale Steelworks,60.8,MEDIUM,1,['supply_chain']
Kestrel Airlines,12.82,LOW,4,"['cybersecurity', 'leadership']"
Lumen Retail Group,26.74,LOW,6,"['supply_chain', 'leadership', 'financial']"
Meridian Health Systems,56.61,MEDIUM,9,"['legal_regulatory', 'supply_chain', 'leadership']"
Nimbus Cloud Services,23.06,LOW,2,"['supply_chain', 'cybersecurity']"
Northstar Logistics,14.2,LOW,3,"['supply_chain', 'fraud_reputation', 'cybersecurity']"
Obsidian Mining,81.28,HIGH,8,"['legal_regulatory', 'financial', 'cybersecurity']"
Orchid Textiles,42.78,MEDIUM,4,"['leadership', 'cybersecurity', 'supply_chain']"
Peregrine Capital,51.08,MEDIUM,9,"['leadership', 'cybersecurity', 'financial']"
Quantum Payments,40.16,MEDIUM,8,"['leadership', 'financial', 'cybersecurity']"
Riverstone Hospitality,18.37,LOW,5,"['supply_chain', 'financial', 'leadership']"
Sable Pharmaceuticals,55.45,MEDIUM,5,"['leadership', 'financial', 'supply_chain']"
Silverline Telecom,20.6,LOW,3,"['leadership', 'financial']"
Trident Marine Services,14.43,LOW,6,"['cybersecurity', 'supply_chain', 'fraud_reputation']"
Vantage Auto Motors,27.59,LOW,6,"['leadership', 'legal_regulatory', 'financial']"
Verdant Agro Industries,44.64,MEDIUM,4,"['cybersecurity', 'leadership', 'fraud_reputation']"
Zephyr Chemicals,51.13,MEDIUM,7,"['leadership', 'legal_regulatory', 'cybersecurity']"
