event_id,company_name,category,severity,confidence,published_at,country,source,description
,Quantum Payments,CYBER_SECURITY,3,0.82,2026-07-23T04:55:00Z,uae,Public Business Monitor,A denial-of-service attack disrupted the payments reconciliation service for several hours.
EVT-1098,Trident Marine Services,Cyber Security,1,0.35,2026-07-05T22:48:00Z,United States,Regional Trade Wire,Customer records were exposed following a misconfiguration in a partner integration gateway.
EVT-1123, Bluepeak Media Networks,cybersecurity,3,0.61,"June 15, 2026",Japan,Global Risk Feed,A denial-of-service attack disrupted the payments reconciliation service for several hours.
EVT-1008,Cobalt Financial Group,fraud_reputation,4,0.83,"July 19, 2026",Germany,Market Signals Digest,Media reporting raised questions about procurement practices.
EVT-1142,kestrel airlines,cyber-security,2,0.58,"June 08, 2026",Japan,Global Risk Feed,A ransomware incident affecting the employee records system was disclosed by the company.
EVT-1127,Northstar Logistics,cybersecurity,2,0.49,2026/07/05 05:48,United Kingdom,Regional Trade Wire,A ransomware incident affecting a third-party analytics vendor was disclosed by the company.
EVT-1072,Vantage Auto Motors,financial,5,0.69,29-06-2026,,,The company deferred a scheduled debt repayment of roughly 12 percent of annual revenue.
EVT-1092,Halcyon Insurance,FINANCIAL_DISTRESS,3,0.33,2026-06-08T08:48:00Z,United States,Public Business Monitor,A planned fundraise of an undisclosed amount was withdrawn before pricing.
EVT-1012,Obsidian  Mining,financial,5,0.91,21-07-2026,United Arab Emirates,Global Risk Feed,A credit rating agency revised the outlook to negative.
EVT-1082,Orchid  Textiles,supply_chain,2,0.83,2026-07-21T03:30:00Z,India,Market Signals Digest,Operations were disrupted following a transport strike in the western corridor.
EVT-1105,Lumen Retail Group,financial,4,0.61,2026-07-19T18:48:00Z, Singapore,Industry Watch Daily,A credit rating agency revised the outlook to negative.
EVT-1120,Granite  Construction,Leadership,4,0.56,2026-06-01 23:30:00,United States,Industry Watch Daily,The chief technology officer was placed on administrative leave.
EVT-1088,Verdant Agro Industries,supply_chain,5,0.69,2026-06-01T07:55:00Z,United States,Industry Watch Daily,A key supplier in the eastern hub halted deliveries without notice.
EVT-1108,Lumen Retail Group,supply_chain,1,0.62,2026/05/17 09:48,uae,Public Business Monitor,A key supplier in the western corridor halted deliveries without notice.
EVT-1026,Sable Pharmaceuticals,financial,5,0.85,2026-07-20T07:48:00Z,Singapore,,Quarterly results showed a shortfall of a figure described as material against guidance.
EVT-1004,Cobalt Financial Group,financial distress,4,0.99,21-07-2026,Germany,Industry Watch Daily,A credit rating agency revised the outlook to negative.
EVT-1032,Meridian Health Systems,legal_regulatory,5,0.87,2026-06-27T23:15:00Z,United Kingdom,Open Corporate Records,An environmental clearance for a facility was placed under review.
EVT-1101,Trident Marine Services,supply_chain,1,0.13,12 Jul 2026,United States,National Filings Registry,A logistics contract covering the coastal region was terminated early.
EVT-1149,Silverline Telecom,leadership,1,-0.2,09-07-2026,Germany,Public Business Monitor,The board announced an unplanned transition for the chief compliance officer position.
EVT-1104,Lumen Retail Group,fraud_reputation,2,0.34,2026-07-20T14:45:00Z,United Arab Emirates,Industry Watch Daily,Whistleblower allegations of expense irregularities were made public.
EVT-1089,Halcyon Insurance,cybersecurity,1,0.64,2026-07-05T11:55:00Z,Germany,National Filings Registry,A denial-of-service attack disrupted the payments reconciliation service for several hours.
EVT-1031,Meridian Health Systems,legal_regulatory,4,0.92,2026-07-10T03:55:00Z,United  Kingdom,Regional Trade Wire,A penalty was imposed following an inspection of compliance records.
EVT-1119,Granite Construction,supply_chain,2,0.43,2026-02-18T14:15:00Z,United States,Regional Trade Wire,A key supplier in the northern belt halted deliveries without notice.
EVT-1053,Quantum Payments,leadership,4,0.74,2026/07/10 05:55,United Arab Emirates,Global Risk Feed,A search was launched to replace the departing chief technology officer.
EVT-1130,Silverline Telecom,leadership,1,0.68,2026-03-25T13:45:00Z,usa,Public Business Monitor,The regional president was placed on administrative leave.
EVT-1024,Helios Semiconductors,Supply Chain,4,0.85,2026-07-20T11:48:00Z, Singapore,Market Signals Digest,Operations were disrupted following a transport strike in the metropolitan zone.
